,0,1
127,0.00018308312286611847,Exterior1st_Plywood
128,0.00018204606231582773,Exterior1st_BrkFace
129,0.0001773400895365993,Neighborhood_NAmes
130,0.00017116237611352863,Neighborhood_OldTown
131,0.00016839068387068464,HouseStyle_1Story
132,0.00015935187980684564,BsmtExposure_Mn
133,0.00015358819592757803,BsmtCond_Fa
134,0.00014929049729867812,Exterior2nd_Stucco
135,0.0001413467937928557,LandSlope_Mod
136,0.0001376966626430976,Exterior2nd_Plywood
137,0.00012591608088426132,BsmtFinType1_LwQ
138,0.0001256854940609417,Exterior1st_HdBoard
139,0.000124569132445948,Alley_Pave
140,0.00011957842567482511,RoofStyle_Gambrel
141,0.00011758153913219063,BsmtFinType1_Rec
142,0.00011535031026301874,Condition1_Feedr
143,0.00010787412474709902,PavedDrive_Y
